구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2008-04-15,1861.8,1681.33,1585.35,1159.41
2008-04-16,1871.39,1692.15,1600.81,1168.47
2008-04-17,1874.54,1686.56,1594.53,1174.24
2008-04-18,1877.81,1689.68,1602.15,1179.31
2008-04-19,1880.39,1692.91,1606.71,1185.59
2008-04-20,1877.12,1693.99,1608.21,1186.81
2008-04-21,1881.82,1695.54,1610.82,1191.62
2008-04-22,1883.94,1698.21,1614.47,1196.7
2008-04-23,1889.69,1703.35,1620.02,1199.33
2008-04-24,1901.13,1713.37,1635.52,1211.42
2008-04-25,1903.31,1719.99,1646.75,1221.05
2008-04-26,1902.57,1725.55,1655.3,1225.78
2008-04-27,1904.76,1723.25,1652.37,1229.4
2008-04-28,1905.92,1726.5,1657.51,1237.79
2008-04-29,1906.73,1728.43,1660.29,1243.55
2008-04-30,1908.83,1731.16,1663.93,1246.53
2008-05-01,1921.08,1737.77,1673.26,1255.18
2008-05-02,1925.98,1741.17,1678.24,1260.97
2008-05-03,1925.58,1743.8,1682.21,1262.35
2008-05-04,1925.69,1744.12,1683.82,1262.34
2008-05-05,1925.57,1744.77,1684.45,1265.14
2008-05-06,1923.17,1745.55,1685.74,1267.3
2008-05-07,1926.78,1746.78,1687.59,1269.02
2008-05-08,1927.36,1748.73,1689.63,1271.47
2008-05-09,1928.07,1751.05,1693.17,1272.36
2008-05-10,1929.31,1753.34,1696.56,1275.27
2008-05-11,1930.44,1754.64,1698.54,1278.15
2008-05-12,1930.83,1755.29,1699.45,1278.69
2008-05-13,1930.57,1757.1,1701.1,1280.45
2008-05-14,1938.9,1763.15,1708.19,1285.77
2008-05-15,1962.27,1780.73,1731.62,1308.18
2008-05-16,1969.96,1790.21,1745.05,1322.83
2008-05-17,1970.76,1795.26,1753.52,1330.91
2008-05-18,1973.76,1797.04,1756.24,1333.78
2008-05-19,1974.47,1798.83,1759.28,1337.59
2008-05-20,1972.91,1802.92,1763.87,1340.4
2008-05-21,1986.89,1813.93,1781.44,1357.69
2008-05-22,2020.25,1841.37,1824.86,1399.74
2008-05-23,2026.89,1853.25,1843.96,1420.52
2008-05-24,2029.04,1858.09,1852.46,1430.71
2008-05-25,2030.27,1859.91,1855.06,1434.71
2008-05-26,2032.99,1862.44,1858.86,1435.46
2008-05-27,2033.18,1865.19,1861.59,1440.57
2008-05-28,2045.71,1870.48,1868.6,1449.26
2008-05-29,2070.94,1888.4,1892.24,1475.89
2008-05-30,2077.97,1896.98,1903.62,1492.66
2008-05-31,2079.6,1900.78,1908.62,1501.41
2008-06-01,2080.2,1903.36,1912.19,1505.64
