date,price
2008년04월15일,1585.35
2008년04월16일,1600.81
2008년04월17일,1594.53
2008년04월18일,1602.15
2008년04월19일,1606.71
2008년04월20일,1608.21
2008년04월21일,1610.82
2008년04월22일,1614.47
2008년04월23일,1620.02
2008년04월24일,1635.52
2008년04월25일,1646.75
2008년04월26일,1655.3
2008년04월27일,1652.37
2008년04월28일,1657.51
2008년04월29일,1660.29
2008년04월30일,1663.93
2008년05월01일,1673.26
2008년05월02일,1678.24
2008년05월03일,1682.21
2008년05월04일,1683.82
2008년05월05일,1684.45
2008년05월06일,1685.74
2008년05월07일,1687.59
2008년05월08일,1689.63
2008년05월09일,1693.17
2008년05월10일,1696.56
2008년05월11일,1698.54
2008년05월12일,1699.45
2008년05월13일,1701.1
2008년05월14일,1708.19
2008년05월15일,1731.62
2008년05월16일,1745.05
2008년05월17일,1753.52
2008년05월18일,1756.24
2008년05월19일,1759.28
2008년05월20일,1763.87
2008년05월21일,1781.44
2008년05월22일,1824.86
2008년05월23일,1843.96
2008년05월24일,1852.46
2008년05월25일,1855.06
2008년05월26일,1858.86
2008년05월27일,1861.59
2008년05월28일,1868.6
2008년05월29일,1892.24
2008년05월30일,1903.62
2008년05월31일,1908.62
2008년06월01일,1912.19
2008년06월02일,1914.49
2008년06월03일,1916.94
2008년06월04일,1917.92
2008년06월05일,1914.49
2008년06월06일,1913.47
2008년06월07일,1913.36
2008년06월08일,1913.57
2008년06월09일,1912.17
2008년06월10일,1912.24
2008년06월11일,1911.32
2008년06월12일,1908.04
2008년06월13일,1907.2
2008년06월14일,1906.58
2008년06월15일,1906.23
2008년06월16일,1905.27
2008년06월17일,1905.21
2008년06월18일,1905.52
2008년06월19일,1906.96
2008년06월20일,1907.58
2008년06월21일,1907.46
2008년06월22일,1907.34
2008년06월23일,1906
2008년06월24일,1906.07
2008년06월25일,1905.52
2008년06월26일,1905.83
2008년06월27일,1909.36
2008년06월28일,1905.64
2008년06월29일,1905.63
2008년06월30일,1904.41
2008년07월01일,1904.82
2008년07월02일,1906.15
2008년07월03일,1908.98
2008년07월04일,1910.45
2008년07월05일,1911.67
2008년07월06일,1912.65
2008년07월07일,1914.09
2008년07월08일,1916.52
2008년07월09일,1921
2008년07월10일,1931.56
2008년07월11일,1937.38
2008년07월12일,1941.77
2008년07월13일,1943.47
2008년07월14일,1943.84
2008년07월15일,1945.81
2008년07월16일,1947.75
2008년07월17일,1943.8
2008년07월18일,1942.85
2008년07월19일,1941.98
2008년07월20일,1941.57
2008년07월21일,1938.79
2008년07월22일,1937.7
2008년07월23일,1933.82
2008년07월24일,1921.33
2008년07월25일,1912.13
2008년07월26일,1907.43
2008년07월27일,1904.92
2008년07월28일,1900.5
2008년07월29일,1898.01
2008년07월30일,1892.6
2008년07월31일,1879.16
2008년08월01일,1867.08
2008년08월02일,1862.44
2008년08월03일,1860.14
2008년08월04일,1854.98
2008년08월05일,1851.61
2008년08월06일,1845.62
2008년08월07일,1832.42
2008년08월08일,1822.06
2008년08월09일,1815
2008년08월10일,1811.93
2008년08월11일,1806.28
2008년08월12일,1799.37
2008년08월13일,1789.36
2008년08월14일,1770.6
2008년08월15일,1759.76
2008년08월16일,1753.28
2008년08월17일,1749.72
2008년08월18일,1742.59
2008년08월19일,1736.92
2008년08월20일,1731.05
2008년08월21일,1716.91
2008년08월22일,1706.98
2008년08월23일,1701.07
2008년08월24일,1698.31
2008년08월25일,1692.73
2008년08월26일,1688.32
2008년08월27일,1684.8
2008년08월28일,1680.26
2008년08월29일,1678.08
2008년08월30일,1676.3
2008년08월31일,1675.48
2008년09월01일,1672.64
2008년09월02일,1671.47
2008년09월03일,1670.72
2008년09월04일,1673.65
2008년09월05일,1672.25
2008년09월06일,1672.54
2008년09월07일,1672.56
2008년09월08일,1671.38
2008년09월09일,1672.24
2008년09월10일,1672.23
2008년09월11일,1671.49
2008년09월12일,1672.32
2008년09월13일,1672.44
2008년09월14일,1672.28
2008년09월15일,1672.03
2008년09월16일,1670.34
2008년09월17일,1669.32
2008년09월18일,1658.06
2008년09월19일,1652.13
2008년09월20일,1647.44
2008년09월21일,1645.74
2008년09월22일,1642.91
2008년09월23일,1642.09
2008년09월24일,1641
2008년09월25일,1642.27
2008년09월26일,1642.83
2008년09월27일,1642.77
2008년09월28일,1642.32
2008년09월29일,1641.19
2008년09월30일,1641.55
2008년10월01일,1642.77
2008년10월02일,1649.86
2008년10월03일,1650.41
2008년10월04일,1650.87
2008년10월05일,1651.16
2008년10월06일,1650.02
2008년10월07일,1650.59
2008년10월08일,1648.28
2008년10월09일,1637.09
2008년10월10일,1631.97
2008년10월11일,1628.78
2008년10월12일,1627.45
2008년10월13일,1625.09
2008년10월14일,1622.46
2008년10월15일,1620.22
2008년10월16일,1615.64
2008년10월17일,1613.21
2008년10월18일,1608.42
2008년10월19일,1606.92
2008년10월20일,1601.91
2008년10월21일,1598.85
2008년10월22일,1592.71
2008년10월23일,1570.3
2008년10월24일,1548.11
2008년10월25일,1533.17
2008년10월26일,1527.75
2008년10월27일,1518.02
2008년10월28일,1511
2008년10월29일,1505.27
2008년10월30일,1498.93
2008년10월31일,1492.93
2008년11월01일,1486.44
2008년11월02일,1483.71
2008년11월03일,1478.21
2008년11월04일,1473.68
2008년11월05일,1468.78
2008년11월06일,1460.62
2008년11월07일,1450.98
2008년11월08일,1445.36
2008년11월09일,1443.46
2008년11월10일,1439.84
2008년11월11일,1434.34
2008년11월12일,1429.57
2008년11월13일,1421.46
2008년11월14일,1412.47
2008년11월15일,1406.66
2008년11월16일,1404.48
2008년11월17일,1399.49
2008년11월18일,1395.44
2008년11월19일,1391.58
2008년11월20일,1384.83
2008년11월21일,1377.49
2008년11월22일,1373.35
2008년11월23일,1371.33
