date,pice
2022년01월01일,1442.42
2022년01월02일,1442.09
2022년01월03일,1441.82
2022년01월04일,1440.91
2022년01월05일,1440.23
2022년01월06일,1439.42
2022년01월07일,1439.13
2022년01월08일,1439.46
2022년01월09일,1439.18
2022년01월10일,1439.54
2022년01월11일,1439.59
2022년01월12일,1439.93
2022년01월13일,1441.22
2022년01월14일,1442.77
2022년01월15일,1444.25
2022년01월16일,1445.13
2022년01월17일,1447.28
2022년01월18일,1449.5
2022년01월19일,1452.22
2022년01월20일,1455.85
2022년01월21일,1459.98
2022년01월22일,1462.91
2022년01월23일,1464.12
2022년01월24일,1466.92
2022년01월25일,1469.52
2022년01월26일,1472.22
2022년01월27일,1475.31
2022년01월28일,1478.31
2022년01월29일,1481.21
2022년01월30일,1483
2022년01월31일,1484.35
2022년02월01일,1485.89
2022년02월02일,1487.05
2022년02월03일,1489.71
2022년02월04일,1493.54
2022년02월05일,1499
2022년02월06일,1501.32
2022년02월07일,1505.56
2022년02월08일,1511.18
2022년02월09일,1516.69
2022년02월10일,1521.1
2022년02월11일,1524.75
2022년02월12일,1528.91
2022년02월13일,1531.22
2022년02월14일,1535.33
2022년02월15일,1540.24
2022년02월16일,1545.08
2022년02월17일,1549.04
2022년02월18일,1552.79
2022년02월19일,1555.98
2022년02월20일,1557.47
2022년02월21일,1560.65
2022년02월22일,1563.99
2022년02월23일,1568.31
2022년02월24일,1572.03
2022년02월25일,1577.05
2022년02월26일,1581.41
2022년02월27일,1582.87
2022년02월28일,1585.96
2022년03월01일,1590.62
2022년03월02일,1594.81
2022년03월03일,1602.22
2022년03월04일,1615.37
2022년03월05일,1634.99
2022년03월06일,1646.01
2022년03월07일,1665.13
2022년03월08일,1706.45
2022년03월09일,1750.15
2022년03월10일,1781.84
2022년03월11일,1818.45
2022년03월12일,1857.08
2022년03월13일,1872.63
2022년03월14일,1892.42
2022년03월15일,1912.14
2022년03월16일,1917.89
2022년03월17일,1917.35
2022년03월18일,1917.35
2022년03월19일,1917.14
2022년03월20일,1917.39
2022년03월21일,1917.82
2022년03월22일,1917.89
2022년03월23일,1918.25
2022년03월24일,1918.92
2022년03월25일,1919.65
2022년03월26일,1919.15
2022년03월27일,1919.61
2022년03월28일,1920.44
2022년03월29일,1920.32
2022년03월30일,1919.72
2022년03월31일,1918.84
2022년04월01일,1916.89
2022년04월02일,1915.18
2022년04월03일,1914.62
2022년04월04일,1913.19
2022년04월05일,1911.37
2022년04월06일,1910.43
2022년04월07일,1909.18
2022년04월08일,1907.86
2022년04월09일,1906.17
2022년04월10일,1905.5
2022년04월11일,1904.54
2022년04월12일,1902.53
2022년04월13일,1900.84
2022년04월14일,1899.67
2022년04월15일,1899.2
2022년04월16일,1898.83
2022년04월17일,1898.62
2022년04월18일,1899.04
2022년04월19일,1899.54
2022년04월20일,1900.24
2022년04월21일,1900.7
2022년04월22일,1901.65
2022년04월23일,1902.33
2022년04월24일,1902.69
2022년04월25일,1906.16
2022년04월26일,1908.09
2022년04월27일,1909.86
2022년04월28일,1911.81
2022년04월29일,1915.25
2022년04월30일,1920.52
2022년05월01일,1908.76
2022년05월02일,1904.81
2022년05월03일,1903.93
2022년05월04일,1906.66
2022년05월05일,1910.34
2022년05월06일,1914.2
2022년05월07일,1920.01
2022년05월08일,1924.7
2022년05월09일,1931.32
2022년05월10일,1941.46
2022년05월11일,1947.59
2022년05월12일,1953.29
2022년05월13일,1959.24
2022년05월14일,1964.02
2022년05월15일,1966.48
2022년05월16일,1970.51
2022년05월17일,1976.49
2022년05월18일,1981.61
2022년05월19일,1986.76
2022년05월20일,1990.99
2022년05월21일,1994.32
2022년05월22일,1995.79
2022년05월23일,1998.38
2022년05월24일,2000.93
2022년05월25일,2002.68
2022년05월26일,2003.85
2022년05월27일,2005.14
2022년05월28일,2005.62
2022년05월29일,2006.09
