date,price
2021년07월01일,1403.07
2021년07월02일,1405.02
2021년07월03일,1406.75
2021년07월04일,1407.44
2021년07월05일,1409.22
2021년07월06일,1411.79
2021년07월07일,1414.43
2021년07월08일,1416.46
2021년07월09일,1418.19
2021년07월10일,1420.08
2021년07월11일,1420.89
2021년07월12일,1422.6
2021년07월13일,1424.58
2021년07월14일,1426.35
2021년07월15일,1427.9
2021년07월16일,1429.58
2021년07월17일,1430.98
2021년07월18일,1431.48
2021년07월19일,1432.85
2021년07월20일,1433.65
2021년07월21일,1434.06
2021년07월22일,1434.65
2021년07월23일,1435.09
2021년07월24일,1435.5
2021년07월25일,1435.65
2021년07월26일,1436.35
2021년07월27일,1436.87
2021년07월28일,1437.31
2021년07월29일,1437.63
2021년07월30일,1438.13
2021년07월31일,1438.5
2021년08월01일,1439.18
2021년08월02일,1439.98
2021년08월03일,1440.57
2021년08월04일,1440.98
2021년08월05일,1441.3
2021년08월06일,1441.84
2021년08월07일,1441.98
2021년08월08일,1441.99
2021년08월09일,1442.25
2021년08월10일,1442.23
2021년08월11일,1442.14
2021년08월12일,1442.12
2021년08월13일,1442.11
2021년08월14일,1441.95
2021년08월15일,1441.87
2021년08월16일,1442.02
2021년08월17일,1441.9
2021년08월18일,1441.6
2021년08월19일,1441.01
2021년08월20일,1440.55
2021년08월21일,1439.96
2021년08월22일,1439.86
2021년08월23일,1439.71
2021년08월24일,1439.35
2021년08월25일,1439.06
2021년08월26일,1438.88
2021년08월27일,1438.62
2021년08월28일,1438.32
2021년08월29일,1438.04
2021년08월30일,1438.21
2021년08월31일,1438.06
2021년09월01일,1437.74
2021년09월02일,1437.55
2021년09월03일,1437.28
2021년09월04일,1436.95
2021년09월05일,1436.8
2021년09월06일,1436.91
2021년09월07일,1436.72
2021년09월08일,1436.52
2021년09월09일,1436.39
2021년09월10일,1436.39
2021년09월11일,1436.19
2021년09월12일,1436.01
2021년09월13일,1436.28
2021년09월14일,1436.17
2021년09월15일,1436.25
2021년09월16일,1436.29
2021년09월17일,1436.52
2021년09월18일,1436.67
2021년09월19일,1436.71
2021년09월20일,1436.88
2021년09월21일,1436.92
2021년09월22일,1436.66
2021년09월23일,1437.21
2021년09월24일,1437.73
2021년09월25일,1437.83
2021년09월26일,1437.88
2021년09월27일,1438.49
2021년09월28일,1439.03
2021년09월29일,1439.76
2021년09월30일,1440.85
2021년10월01일,1443.14
2021년10월02일,1444.57
2021년10월03일,1445.08
2021년10월04일,1446.28
2021년10월05일,1448.18
2021년10월06일,1452.28
2021년10월07일,1456.8
2021년10월08일,1462.87
2021년10월09일,1468.94
2021년10월10일,1472.26
2021년10월11일,1476.01
2021년10월12일,1481.2
2021년10월13일,1490.26
2021년10월14일,1498.15
2021년10월15일,1506.65
2021년10월16일,1514.39
2021년10월17일,1518.34
2021년10월18일,1523.77
2021년10월19일,1530.43
2021년10월20일,1537.28
2021년10월21일,1542.25
2021년10월22일,1547.04
2021년10월23일,1551.4
2021년10월24일,1553.43
2021년10월25일,1556.69
2021년10월26일,1560.93
2021년10월27일,1564.79
2021년10월28일,1568.88
2021년10월29일,1572.22
2021년10월30일,1576.42
2021년10월31일,1578.31
2021년11월01일,1582.01
2021년11월02일,1585.36
2021년11월03일,1588.34
2021년11월04일,1591.63
2021년11월05일,1594.42
2021년11월06일,1597.58
2021년11월07일,1598.84
2021년11월08일,1600.87
2021년11월09일,1602.98
2021년11월10일,1604.52
2021년11월11일,1605.64
2021년11월12일,1575.03
2021년11월13일,1562.4
2021년11월14일,1555.81
2021년11월15일,1542.16
2021년11월16일,1531.96
2021년11월17일,1526.24
2021년11월18일,1521.82
2021년11월19일,1518.74
2021년11월20일,1516.5
2021년11월21일,1515.15
2021년11월22일,1513.22
2021년11월23일,1511.62
2021년11월24일,1510.35
2021년11월25일,1509.16
2021년11월26일,1508.23
2021년11월27일,1506.77
2021년11월28일,1505.83
2021년11월29일,1504.95
2021년11월30일,1503.76
2021년12월01일,1501.52
2021년12월02일,1499.73
2021년12월03일,1497.83
2021년12월04일,1495.88
2021년12월05일,1494.93
2021년12월06일,1493.43
2021년12월07일,1489.98
2021년12월08일,1486.87
2021년12월09일,1483.64
2021년12월10일,1480.84
2021년12월11일,1478.23
2021년12월12일,1477.06
2021년12월13일,1475.23
2021년12월14일,1472.46
2021년12월15일,1469.52
2021년12월16일,1466.11
2021년12월17일,1463.39
2021년12월18일,1461.35
2021년12월19일,1460.26
2021년12월20일,1458.47
2021년12월21일,1455.64
2021년12월22일,1453.08
2021년12월23일,1451.15
2021년12월24일,1449.37
2021년12월25일,1447.97
2021년12월26일,1447.53
2021년12월27일,1446.92
2021년12월28일,1445.68
2021년12월29일,1444.7
2021년12월30일,1444
2021년12월31일,1443.58
