날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 5월 18일,105.53,105.53,105.53,105.53,-,-1.27%
2022년 5월 17일,106.88,106.88,106.88,106.88,-,-1.40%
2022년 5월 16일,108.4,108.4,108.4,108.4,-,1.09%
2022년 5월 13일,107.23,107.23,107.23,107.23,-,2.45%
2022년 5월 12일,104.66,104.66,104.66,104.66,-,0.10%
2022년 5월 11일,104.56,104.56,104.56,104.56,-,4.12%
2022년 5월 10일,100.43,100.43,100.43,100.43,-,-2.30%
2022년 5월 9일,102.79,102.79,102.79,102.79,-,-4.44%
2022년 5월 6일,107.57,107.57,107.57,107.57,-,1.10%
2022년 5월 5일,106.4,106.4,106.4,106.4,-,0.41%
2022년 5월 4일,105.97,105.97,105.97,105.97,-,2.50%
2022년 5월 3일,103.39,103.39,103.39,103.39,-,-0.45%
2022년 5월 2일,103.86,103.86,103.86,103.86,-,1.04%
2022년 4월 29일,102.79,102.79,102.79,102.79,-,0.02%
2022년 4월 28일,102.76,102.76,102.76,102.76,-,0.07%
2022년 4월 27일,102.69,102.69,102.69,102.69,-,0.00%
2022년 4월 26일,102.69,102.69,102.69,102.69,-,0.39%
2022년 4월 25일,102.3,102.3,102.3,102.3,-,-1.09%
2022년 4월 22일,103.43,103.43,103.43,103.43,-,-0.40%
2022년 4월 21일,103.85,103.85,103.85,103.85,-,0.71%
2022년 4월 20일,103.12,103.12,103.12,103.12,-,0.02%
2022년 4월 19일,103.09,103.09,103.09,103.09,-,-2.22%
2022년 4월 18일,105.44,105.44,105.44,105.44,-,0.59%
2022년 4월 14일,104.82,104.82,104.82,104.82,-,1.08%
2022년 4월 13일,103.7,103.7,103.7,103.7,-,2.18%
2022년 4월 12일,101.49,101.49,101.49,101.49,-,4.61%
2022년 4월 11일,97.02,97.02,97.02,97.02,-,-2.71%
2022년 4월 8일,99.72,99.72,99.72,99.72,-,1.31%
2022년 4월 7일,98.42,98.42,98.42,98.42,-,-0.39%
2022년 4월 6일,98.81,98.81,98.81,98.81,-,-4.32%
2022년 4월 5일,103.27,103.27,103.27,103.27,-,-1.43%
2022년 4월 4일,104.77,104.77,104.77,104.77,-,2.86%
2022년 4월 1일,101.85,101.85,101.85,101.85,-,-8.15%
2022년 3월 31일,110.89,110.89,110.89,110.89,-,0.00%
2022년 3월 30일,110.89,110.89,110.89,110.89,-,0.31%
2022년 3월 29일,110.55,110.55,110.55,110.55,-,-0.26%
2022년 3월 28일,110.84,110.84,110.84,110.84,-,-1.12%
2022년 3월 25일,112.1,112.1,112.1,112.1,-,0.25%
2022년 3월 24일,111.82,111.82,111.82,111.82,-,-0.68%
2022년 3월 23일,112.59,112.59,112.59,112.59,-,1.04%
2022년 3월 22일,111.43,111.43,111.43,111.43,-,-0.27%
2022년 3월 21일,111.73,111.73,111.73,111.73,-,2.52%
2022년 3월 18일,108.99,108.99,108.99,108.99,-,0.19%
2022년 3월 17일,108.78,108.78,108.78,108.78,-,3.71%
2022년 3월 16일,104.89,104.89,104.89,104.89,-,-0.83%
2022년 3월 15일,105.76,105.76,105.76,105.76,-,-3.13%
2022년 3월 14일,109.18,109.18,109.18,109.18,-,-3.03%
2022년 3월 11일,112.59,112.59,112.59,112.59,-,2.17%
2022년 3월 10일,110.2,110.2,110.2,110.2,-,-0.59%
2022년 3월 9일,110.86,110.86,110.86,110.86,-,-9.53%
2022년 3월 8일,122.53,122.53,122.53,122.53,-,3.68%
2022년 3월 7일,118.18,118.18,118.18,118.18,-,2.81%
2022년 3월 4일,114.95,114.95,114.95,114.95,-,7.86%
2022년 3월 3일,106.58,106.58,106.58,106.58,-,-2.58%
2022년 3월 2일,109.4,109.4,109.4,109.4,-,7.25%
2022년 3월 1일,102,102,102,102,-,10.47%
2022년 2월 28일,92.34,92.34,92.34,92.34,-,0.45%
2022년 2월 25일,91.93,91.93,91.93,91.93,-,-0.16%
2022년 2월 24일,92.07,92.07,92.07,92.07,-,0.40%
2022년 2월 23일,91.7,91.7,91.7,91.7,-,-0.15%
2022년 2월 22일,91.84,91.84,91.84,91.84,-,1.04%
2022년 2월 18일,90.9,90.9,90.9,90.9,-,0.25%
2022년 2월 17일,90.67,90.67,90.67,90.67,-,-0.97%
2022년 2월 16일,91.56,91.56,91.56,91.56,-,0.77%
2022년 2월 15일,90.86,90.86,90.86,90.86,-,-1.89%
2022년 2월 14일,92.61,92.61,92.61,92.61,-,0.89%
2022년 2월 11일,91.79,91.79,91.79,91.79,-,2.08%
2022년 2월 10일,89.92,89.92,89.92,89.92,-,0.04%
2022년 2월 9일,89.88,89.88,89.88,89.88,-,0.67%
2022년 2월 8일,89.28,89.28,89.28,89.28,-,-1.63%
2022년 2월 7일,90.76,90.76,90.76,90.76,-,-0.33%
2022년 2월 4일,91.06,91.06,91.06,91.06,-,2.13%
2022년 2월 3일,89.16,89.16,89.16,89.16,-,1.58%
2022년 2월 2일,87.77,87.77,87.77,87.77,-,0.40%
2022년 2월 1일,87.42,87.42,87.42,87.42,-,4.76%
2022년 1월 31일,83.45,83.45,83.45,83.45,-,0.11%
2022년 1월 28일,83.36,83.36,83.36,83.36,-,0.04%
2022년 1월 27일,83.33,83.33,83.33,83.33,-,-0.07%
2022년 1월 26일,83.39,83.39,83.39,83.39,-,0.22%
2022년 1월 25일,83.21,83.21,83.21,83.21,-,0.41%
2022년 1월 24일,82.87,82.87,82.87,82.87,-,-0.50%
2022년 1월 21일,83.29,83.29,83.29,83.29,-,-0.25%
2022년 1월 20일,83.5,83.5,83.5,83.5,-,-0.07%
2022년 1월 19일,83.56,83.56,83.56,83.56,-,0.41%
2022년 1월 18일,83.22,83.22,83.22,83.22,-,1.15%
2022년 1월 14일,82.27,82.27,82.27,82.27,-,1.19%
2022년 1월 13일,81.3,81.3,81.3,81.3,-,-0.05%
